T	tol	N_steps	step	delta_x	delta_z	x	z
100pi	1e-07	981	0.320617	0.150437	0.0116447	-0.150437	0.988355
100pi	1e-09	2460	0.127698	0.0559271	0.00156806	-0.0559271	0.998432
100pi	1e-11	6179	0.0508416	0.00865604	3.74938e-05	-0.00865604	0.999963
1000pi	1e-07	9798	0.320768	0.0383152	0.00335342	-0.0383152	0.996647
1000pi	1e-09	24601	0.127699	0.118897	0.0071227	-0.118897	0.992877
1000pi	1e-11	61791	0.0508416	0.0405192	0.000821535	-0.0405192	0.999178
10000pi	1e-07	97734	0.322302	0.20143	0.0472195	-0.20143	0.952781
10000pi	1e-09	246010	0.127705	0.0648874	0.00239892	-0.0648874	0.997601
10000pi	1e-11	617917	0.0508416	0.0459327	0.00105842	-0.0459327	0.998942
100000pi	1e-07	952407	0.340451	0.0272611	0.260252	-0.0272611	0.739748
100000pi	1e-09	2459458	0.127772	0.023648	0.00318942	-0.023648	0.996811
100000pi	1e-11	6179162	0.0508419	0.0353897	0.000655988	-0.0353897	0.999344
