T	h	delta_x	delta_z
2pi	0.1	0.00555481	0.368106
10pi	0.1	0.097298	3.79211
100pi	0.1	5.17628e+06	3.32102e+06
1000pi	0.1	6.29136e+67	4.24262e+67
10000pi	0.1	nan	nan
100000pi	0.1	nan	nan
2pi	0.01	0.00681601	0.0319256
10pi	0.01	0.00354095	0.170098
100pi	0.01	0.0468341	3.80989
1000pi	0.01	644590	6.59925e+06
10000pi	0.01	1.41924e+68	8.26089e+67
100000pi	0.01	nan	nan
2pi	0.001	0.000815155	0.00314661
10pi	0.001	6.39894e-05	0.015832
100pi	0.001	0.000737064	0.170089
1000pi	0.001	0.00337112	3.81047
10000pi	0.001	66406.8	6.63524e+06
100000pi	0.001	1.68642e+67	1.64633e+68
